X_05%,X_68%,X_95%,Template
11501,16842,18517,1
11762,15710,17139,1
11094,14281,16808,1
10721,16329,18506,1
10624,17359,18934,1
11586,17718,19330,1
11620,14733,16686,1
11563,16111,18045,1
12053,16072,17664,1
11227,15016,17722,1
10933,16973,18976,1
10782,16461,18614,1
10468,16774,18607,1
10838,16481,19007,1
11148,16889,19027,1
11985,16250,18342,1
11850,16638,19051,1
12190,17999,20567,1
12307,17918,20511,1
12721,18170,21100,1
13458,18513,20438,1
12885,19013,20322,1
12389,16290,18085,1
11883,15393,18620,1
12023,17563,20518,1
13031,18860,21563,1
14085,19555,21733,1
14343,19659,21117,1
13063,18878,19756,1
12246,16396,18396,1
12288,16078,18988,1
12484,18373,21159,1
13275,18752,20955,1
13278,18899,20977,1
13239,18628,20460,1
12395,17051,18810,1
11177,15263,16795,1
10943,14251,15091,1
10293,15691,17748,1
11606,17267,19317,1
12178,17235,18967,1
11182,17069,18402,1
10862,16456,18474,1
11940,16473,18569,1
11714,15354,17661,1
11449,15967,18699,1
11712,18242,20258,1
12414,17801,19914,1
12141,18012,19529,1
11870,17370,19117,1
12256,16437,18205,1
12100,15897,18142,1
11863,17459,19152,1
11639,16983,18961,1
11836,17105,19006,1
11081,16367,18251,1
11330,16758,17908,1
10620,15381,16764,1
11146,16932,19313,1
13834,19010,20559,1
13421,18277,19717,1
11975,17154,18620,1
11856,17212,18851,1
11792,16662,17527,1
10852,15079,16410,1
11328,15135,17760,1
11638,18174,19548,1
12013,17170,18948,1
11788,17074,18947,1
12030,17511,19322,1
12920,17930,18528,1
11871,15589,16554,1
11083,14951,17257,1
10899,17106,19039,1
11667,17760,19472,1
12055,17098,18865,1
11820,17023,18119,1
11321,17005,17382,1
10866,15106,16494,1
10444,14780,16566,1
11119,17023,18889,1
12168,17276,19342,1
12519,17705,19479,1
12668,17875,19340,1
12925,18022,18988,1
12569,16151,17875,1
12277,17415,19393,1
12845,18115,19578,1
12550,17318,18698,1
12017,16803,18175,1
11396,16477,17806,1
11004,16443,17577,1
11912,16544,18093,1
13337,16296,18023,1
12924,17050,18373,1
12635,17568,18896,1
12286,17100,18259,1
12008,17181,18043,1
11884,17135,18568,1
12661,16811,17878,1
12588,16115,18938,1
13475,18745,20469,1
13756,18430,19997,1
13135,18016,19231,1
12719,18103,19598,1
12720,17836,19204,1
12995,16238,17325,1
11969,15033,17223,1
11869,17125,18694,1
12195,17056,18443,1
11910,16968,18221,1
11529,17036,18431,1
11257,16050,16784,1
10481,14161,15354,1
10394,14437,16265,1
10389,16244,17321,1
10515,16126,17416,1
11223,16640,18530,1
11826,16635,17976,1
11841,16722,17359,1
11975,15336,16492,1
11582,15031,17092,1
11794,17354,18824,1
12373,17027,18020,1
11658,16710,18143,1
11606,16276,17199,1
10904,16028,16693,1
10949,14938,15945,1
10600,14108,16160,1
10762,15942,17149,1
10922,15679,17121,1
10960,15784,16557,1
10577,15532,16665,1
10396,15426,15795,1
9809,14092,14898,1
9691,13120,14924,1
10053,15683,16502,1
10447,16334,16965,1
11069,16507,17146,1
11233,15938,16350,1
10908,15724,16003,1
10239,14665,15252,1
10630,13684,15283,1
10468,15593,16196,1
10438,15493,15976,1
10242,15528,15985,1
10016,15552,15836,1
9768,14622,15028,1
9472,13641,14280,1
9171,12455,13467,1
9402,15007,15418,1
9908,15224,15505,1
9869,15171,15604,1
9870,15242,15608,1
9787,14608,15233,1
9832,13772,14454,1
9782,14197,15039,1
9936,15810,16175,1
10221,15391,15792,1
10078,15225,15769,1
10130,15160,15611,1
9952,14900,15372,1
10031,13231,13916,1
9653,12992,14479,1
9653,15319,15613,1
10048,15992,16230,1
10205,15956,16225,1
10096,15831,16051,1
9933,15786,16287,1
9725,13602,14207,1
9358,12875,13611,1
9558,15322,15729,1
9887,15749,16068,1
10125,15763,15980,1
10038,15663,15902,1
10025,15674,16256,1
9857,14260,14770,1
9681,13810,14727,1
10013,16245,16361,1
10155,16031,16377,1
10143,15594,15920,1
9993,15997,16362,1
9993,15541,16308,1
9843,13701,14203,1
9489,13475,14220,1
9790,15590,15899,1
10117,15638,15917,1
10071,15698,16024,1
9954,16083,16405,1
10124,16533,16963,1
10168,15097,15362,1
9774,14690,14931,1
10006,15907,17131,1
10911,18904,19411,1
10824,18013,18977,1
11204,19679,20818,1
11878,17685,18322,1
10379,14539,15306,1
9576,13871,14467,1
9745,16194,16564,1
10213,16616,16993,1
10364,16471,16733,1
10130,16183,16450,1
10233,16237,16703,1
10099,14132,15104,1
9565,13900,14679,1
9945,17275,17697,1
10822,18349,19060,1
11240,18543,19178,1
10985,17786,18058,1
10714,18204,19275,1
10996,16760,16914,1
10824,19447,19972,1
12986,22406,24069,1
13133,21149,22248,1
11956,19369,20273,1
11689,20427,21207,1
12903,20779,22219,1
12313,16684,17633,1
11224,16100,16453,1
11497,19727,20508,1
12744,21501,22161,1
13004,19978,20296,1
12765,20067,21081,1
12287,19330,19937,1
10999,16908,17554,1
11284,18491,18823,1
12850,20061,21048,1
12231,18735,19486,1
12697,19953,20187,1
12085,18208,19080,1
11088,18639,19448,1
11413,17628,18158,1
11249,18431,19226,1
12137,20859,22160,1
12948,21054,22085,1
13111,20681,21420,1
13226,19808,20569,1
12318,22181,23855,1
13187,19831,20945,1
12706,21419,22373,1
14182,25675,26721,1
15655,26018,27231,1
14773,22044,22913,1
12887,20228,21105,1
13353,22000,23378,1
13688,18483,19144,1
12781,17110,17302,1
11487,19857,21127,1
12477,21674,22941,1
13279,23243,24322,1
14006,23859,25277,1
15195,23648,25349,1
13190,21638,22507,1
13753,20350,20837,1
12797,22599,23681,1
14677,25955,27467,1
16922,27432,28130,1
16844,25699,27048,1
14476,21385,21686,1
12818,19044,19696,1
11463,17431,18220,1
12659,22265,23090,1
14297,21096,21840,1
11890,19470,20281,1
11957,19888,20997,1
11954,18009,18417,1
10586,15019,15278,1
10009,14673,15102,1
10477,18874,19524,1
12761,19336,19910,1
11881,19701,20523,1
12025,19803,20532,1
12156,19118,20363,1
11659,17622,17983,1
12030,18509,18865,1
12050,18897,19198,1
11394,19246,20139,1
11969,19043,19996,1
11577,18140,18797,1
11353,17041,17845,1
10579,14885,15425,1
10065,14389,15225,1
10422,17681,17870,1
11033,17183,17579,1
10730,17857,18182,1
10572,16901,17208,1
10447,16286,16983,1
10223,14145,14733,1
9859,14384,15020,1
9920,14611,15729,1
10074,17036,17290,1
10723,17327,17568,1
10752,17789,18174,1
10830,17485,18161,1
10759,16622,16723,1
10357,14336,15446,1
9934,16049,16550,1
10020,16024,16232,1
10113,16108,16893,1
10326,16809,17334,1
10583,16659,17233,1
10306,15381,16052,1
10059,15305,16544,1
10532,18513,19140,1
11154,18716,19168,1
11061,16961,17285,1
10228,15974,16715,1
10034,15652,16067,1
10102,15141,15720,1
10250,15544,16651,1
10166,16425,17116,1
10015,16220,16923,1
9982,16190,17035,1
10103,16394,16596,1
10428,16094,16854,1
9799,13873,14857,1
9616,14434,15415,1
9815,16042,16572,1
9968,16503,17605,1
10259,17131,18036,1
10603,15888,16420,1
10069,15542,16051,1
9998,13915,14858,1
9680,13341,14946,1
9658,15768,16820,1
9993,16171,17127,1
10086,15934,17244,1
10370,16537,17310,1
10097,15471,16043,1
10281,13992,14965,1
9924,13670,15524,1
10144,16082,17285,1
10529,16359,17921,1
10576,16550,17448,1
10151,16087,17204,1
10250,16507,16818,1
10142,14136,15263,1
10144,13903,15973,1
9986,16150,17459,1
10480,16273,17735,1
10614,16082,17565,1
10682,16130,17524,1
10877,16159,16725,1
10361,15294,16040,1
10053,14016,16380,1
10403,16007,17745,1
10623,15867,17345,1
10192,15881,17713,1
10206,16339,17926,1
10985,16181,17657,1
11095,14913,16483,1
10908,14273,16778,1
10805,16273,18117,1
10836,16128,17829,1
10335,16399,18192,1
10260,15962,17429,1
10112,15347,16924,1
10085,14040,15768,1
9618,14661,16452,1
9871,16483,18031,1
10376,16103,17658,1
10213,15966,17927,1
10214,16440,18335,1
10467,16124,17297,1
10027,14301,16236,1
10122,14460,16669,1
10426,16490,18712,1
11404,16778,18602,1
11519,17122,18089,1
10544,14173,16161,1
10207,14338,16301,1
10474,14356,16242,1
10490,13980,16663,1
10292,16094,18453,1
10545,16616,18738,1
10747,16442,18584,1
10398,16302,18380,1
10313,16563,18153,1
10125,14593,17063,1
10942,14476,17709,1
10919,17251,20078,1
12209,17669,20271,1
12635,17782,19903,1
11356,16515,18929,1
12102,18483,20425,1
12479,16680,18521,1
11625,14899,18011,1
11279,17186,19728,1
11620,17032,19642,1
11374,16990,19294,1
10933,16431,18845,1
10949,16656,18540,1
10860,15140,17415,1
10984,14866,17603,1
10575,16693,19376,1
11403,16929,19881,1
12180,17656,19846,1
11735,17286,19308,1
11782,17156,18933,1
10856,15584,17252,1
10380,14916,16098,1
10671,14410,15434,1
10416,16401,18086,1
10854,16652,19002,1
11679,16724,18782,1
11538,16693,18804,1
11879,16420,17950,1
11566,15045,17752,1
11152,15536,17430,1
10496,16493,19105,1
11806,16952,18916,1
11228,16529,18529,1
10868,16337,17481,1
10251,14945,16271,1
9941,14060,16823,1
10572,16993,18596,1
11385,16819,18963,1
11922,17389,19844,1
12686,17998,19634,1
12018,16978,17987,1
10910,15593,16926,1
10829,15827,17133,1
11186,17749,19203,1
11324,17563,19940,1
13451,18926,20750,1
13800,18821,19917,1
12242,17392,18747,1
12121,16843,18760,1
13254,16775,19158,1
12704,18591,20430,1
12896,18044,19804,1
12758,17811,19490,1
12624,18096,20379,1
14427,19782,21034,1
14436,18138,18857,1
12500,15871,18202,1
12459,18241,20530,1
13632,18585,20108,1
13140,18210,19981,1
13204,18171,19579,1
12619,17827,18769,1
12018,16140,18071,1
12676,16502,18853,1
13586,19416,21235,1
14348,19129,20772,1
14124,19119,20829,1
14105,18960,20664,1
13838,18622,19755,1
13587,17271,18389,1
13099,16321,18640,1
12852,17927,19391,1
13354,18783,20413,1
13807,19361,20592,1
13884,18761,20950,1
14376,18709,19613,1
13382,16298,17344,1
12148,15575,17633,1
13388,18401,20160,1
13366,17504,18773,1
11909,16765,18361,1
12239,17349,18786,1
12067,17378,18874,1
13335,16706,17629,1
12359,15168,17145,1
11851,17600,19296,1
12175,17112,18787,1
12005,16848,18239,1
12296,17089,18547,1
11990,17630,18315,1
11739,15115,16350,1
11204,14883,17221,1
11950,17453,19403,1
13576,19269,21439,1
14747,19352,20347,1
14082,18758,20697,1
14581,18497,19194,1
12630,15782,16698,1
10944,14311,16397,1
11365,16487,17422,1
11203,16190,17117,1
10911,15941,16919,1
10515,16361,17498,1
11421,17882,18610,1
12361,16122,16773,1
12000,15370,17139,1
12208,17211,18471,1
11845,16554,17774,1
12399,16780,17767,1
11817,16616,17071,1
10790,15800,15993,1
10902,14377,15435,1
10755,14439,15728,1
10982,16739,17636,1
10978,16014,16696,1
10401,15683,16633,1
11089,16260,16858,1
11240,15745,16404,1
10611,14079,14788,1
10583,14000,15723,1
10517,16795,17326,1
10831,16475,17143,1
11173,17040,18071,1
11393,16400,17086,1
11675,16162,16565,1
11311,14807,15693,1
11197,14478,15530,1
11284,16374,16929,1
11296,16197,16994,1
11435,15948,16429,1
10905,17221,17663,1
11398,16032,16576,1
10897,14072,14835,1
10366,15586,16125,1
10773,16266,16489,1
10958,16640,17058,1
11287,16568,16847,1
10969,15859,16306,1
10726,15221,15827,1
10403,13735,14392,1
9704,13467,14878,1
9819,16178,16510,1
10278,15885,16228,1
10042,15623,16082,1
10270,15340,15882,1
10090,15804,16398,1
10099,13816,14361,1
9541,13619,14670,1
9834,15803,16156,1
10182,15387,15671,1
10044,15444,15932,1
10170,15415,15798,1
10099,15099,15653,1
9826,13506,14048,1
9592,13213,14675,1
9995,15444,15867,1
10057,15886,16234,1
10043,16791,17168,1
10644,17962,18489,1
11059,16931,17279,1
10362,13819,14409,1
9516,13028,14237,1
9639,15830,16087,1
9960,16432,16800,1
10481,16861,17495,1
10168,15740,15991,1
10212,15814,16304,1
10324,13952,14729,1
9751,13867,14712,1
9824,15628,15943,1
10119,15934,16199,1
10116,16236,16572,1
10111,17488,18150,1
11026,19473,20463,1
11542,17002,17254,1
10256,14425,14633,1
10078,15869,16180,1
10397,17355,17910,1
10584,17995,18658,1
11175,17568,18147,1
10761,18641,20114,1
11273,17867,18607,1
10926,15132,15455,1
10157,16822,17056,1
10641,18421,18737,1
10770,16240,16561,1
10295,16368,16626,1
10491,17664,18956,1
11079,15035,15975,1
9983,14577,15366,1
10565,18463,19355,1
11315,18439,18962,1
11023,16356,16922,1
10282,16021,16482,1
10337,16463,16955,1
10200,15446,15785,1
10248,16898,17478,1
11509,19136,19776,1
11416,19355,20633,1
