SystemLoad,Date,Hour
27624,2004-01-24,12
17959,2004-01-24,13
17518,2004-01-24,14
17244,2004-01-24,15
17278,2004-01-24,16
18092,2004-01-24,17
19717,2004-01-24,18
19852,2004-01-24,19
19448,2004-01-24,20
18964,2004-01-24,21
18274,2004-01-24,22
17262,2004-01-24,23
16246,2004-01-24,24
15457,2004-01-25,1
15022,2004-01-25,2
14825,2004-01-25,3
14745,2004-01-25,4
14796,2004-01-25,5
15094,2004-01-25,6
15680,2004-01-25,7
16352,2004-01-25,8
17350,2004-01-25,9
18023,2004-01-25,10
18291,2004-01-25,11
27451,2004-01-25,12
18119,2004-01-25,13
17753,2004-01-25,14
17492,2004-01-25,15
17546,2004-01-25,16
18487,2004-01-25,17
20303,2004-01-25,18
20500,2004-01-25,19
20132,2004-01-25,20
19465,2004-01-25,21
18366,2004-01-25,22
16983,2004-01-25,23
15774,2004-01-25,24
22479,2004-01-26,1
21967,2004-01-26,2
14551,2004-01-26,3
14572,2004-01-26,4
14926,2004-01-26,5
16165,2004-01-26,6
18563,2004-01-26,7
19935,2004-01-26,8
20153,2004-01-26,9
20146,2004-01-26,10
20090,2004-01-26,11
19906,2004-01-26,12
19653,2004-01-26,13
19397,2004-01-26,14
19149,2004-01-26,15
19221,2004-01-26,16
20070,2004-01-26,17
21516,2004-01-26,18
21572,2004-01-26,19
21071,2004-01-26,20
20300,2004-01-26,21
19022,2004-01-26,22
17299,2004-01-26,23
15853,2004-01-26,24
14903,2004-01-27,1
14467,2004-01-27,2
14298,2004-01-27,3
14316,2004-01-27,4
14632,2004-01-27,5
15838,2004-01-27,6
18180,2004-01-27,7
19496,2004-01-27,8
19640,2004-01-27,9
19652,2004-01-27,10
19626,2004-01-27,11
19540,2004-01-27,12
19372,2004-01-27,13
19259,2004-01-27,14
19029,2004-01-27,15
19022,2004-01-27,16
29554,2004-01-27,17
31512,2004-01-27,18
20976,2004-01-27,19
20435,2004-01-27,20
19590,2004-01-27,21
18315,2004-01-27,22
16714,2004-01-27,23
15284,2004-01-27,24
14373,2004-01-28,1
13928,2004-01-28,2
13715,2004-01-28,3
13644,2004-01-28,4
13914,2004-01-28,5
14928,2004-01-28,6
16865,2004-01-28,7
18147,2004-01-28,8
18644,2004-01-28,9
18973,2004-01-28,10
19147,2004-01-28,11
19131,2004-01-28,12
18894,2004-01-28,13
27991,2004-01-28,14
27741,2004-01-28,15
27757,2004-01-28,16
28744,2004-01-28,17
30861,2004-01-28,18
30876,2004-01-28,19
30061,2004-01-28,20
28938,2004-01-28,21
18031,2004-01-28,22
16316,2004-01-28,23
14875,2004-01-28,24
13977,2004-01-29,1
13602,2004-01-29,2
13447,2004-01-29,3
13403,2004-01-29,4
13697,2004-01-29,5
14867,2004-01-29,6
17180,2004-01-29,7
18386,2004-01-29,8
18506,2004-01-29,9
18524,2004-01-29,10
27894,2004-01-29,11
27930,2004-01-29,12
27699,2004-01-29,13
27513,2004-01-29,14
27381,2004-01-29,15
27288,2004-01-29,16
28309,2004-01-29,17
20470,2004-01-29,18
20720,2004-01-29,19
20409,2004-01-29,20
19781,2004-01-29,21
18663,2004-01-29,22
17001,2004-01-29,23
15464,2004-01-29,24
14622,2004-01-30,1
14242,2004-01-30,2
14057,2004-01-30,3
14017,2004-01-30,4
21493,2004-01-30,5
23260,2004-01-30,6
17795,2004-01-30,7
19087,2004-01-30,8
19239,2004-01-30,9
19179,2004-01-30,10
19064,2004-01-30,11
18786,2004-01-30,12
18475,2004-01-30,13
18258,2004-01-30,14
17926,2004-01-30,15
17880,2004-01-30,16
18466,2004-01-30,17
19837,2004-01-30,18
19936,2004-01-30,19
19429,2004-01-30,20
18840,2004-01-30,21
17931,2004-01-30,22
16617,2004-01-30,23
15322,2004-01-30,24
14348,2004-01-31,1
13843,2004-01-31,2
13625,2004-01-31,3
13571,2004-01-31,4
13699,2004-01-31,5
14138,2004-01-31,6
15013,2004-01-31,7
15963,2004-01-31,8
17095,2004-01-31,9
26565,2004-01-31,10
26709,2004-01-31,11
26367,2004-01-31,12
25681,2004-01-31,13
25092,2004-01-31,14
24670,2004-01-31,15
24625,2004-01-31,16
25539,2004-01-31,17
27967,2004-01-31,18
28168,2004-01-31,19
27654,2004-01-31,20
26868,2004-01-31,21
25747,2004-01-31,22
24145,2004-01-31,23
22473,2004-01-31,24
21217,2004-02-01,1
20464,2004-02-01,2
20170,2004-02-01,3
19995,2004-02-01,4
20100,2004-02-01,5
20514,2004-02-01,6
21432,2004-02-01,7
22395,2004-02-01,8
23775,2004-02-01,9
24666,2004-02-01,10
24972,2004-02-01,11
25078,2004-02-01,12
24820,2004-02-01,13
24342,2004-02-01,14
23931,2004-02-01,15
23871,2004-02-01,16
16594,2004-02-01,17
18122,2004-02-01,18
17982,2004-02-01,19
17270,2004-02-01,20
16890,2004-02-01,21
16224,2004-02-01,22
15397,2004-02-01,23
14529,2004-02-01,24
13494,2004-02-02,1
12980,2004-02-02,2
12859,2004-02-02,3
19392,2004-02-02,4
19897,2004-02-02,5
21709,2004-02-02,6
25173,2004-02-02,7
27123,2004-02-02,8
27372,2004-02-02,9
27276,2004-02-02,10
27145,2004-02-02,11
26778,2004-02-02,12
26233,2004-02-02,13
25861,2004-02-02,14
25447,2004-02-02,15
25347,2004-02-02,16
26284,2004-02-02,17
28993,2004-02-02,18
29583,2004-02-02,19
19335,2004-02-02,20
18591,2004-02-02,21
17420,2004-02-02,22
15724,2004-02-02,23
14396,2004-02-02,24
13563,2004-02-03,1
13173,2004-02-03,2
12982,2004-02-03,3
13011,2004-02-03,4
13362,2004-02-03,5
14488,2004-02-03,6
16828,2004-02-03,7
27213,2004-02-03,8
27586,2004-02-03,9
27594,2004-02-03,10
27567,2004-02-03,11
27403,2004-02-03,12
27111,2004-02-03,13
26875,2004-02-03,14
26676,2004-02-03,15
17888,2004-02-03,16
18643,2004-02-03,17
19930,2004-02-03,18
19977,2004-02-03,19
19455,2004-02-03,20
18566,2004-02-03,21
17239,2004-02-03,22
15482,2004-02-03,23
13941,2004-02-03,24
12923,2004-02-04,1
12393,2004-02-04,2
12208,2004-02-04,3
12197,2004-02-04,4
12492,2004-02-04,5
13636,2004-02-04,6
15863,2004-02-04,7
17062,2004-02-04,8
17257,2004-02-04,9
17360,2004-02-04,10
17286,2004-02-04,11
17172,2004-02-04,12
16994,2004-02-04,13
25191,2004-02-04,14
24861,2004-02-04,15
24835,2004-02-04,16
25713,2004-02-04,17
28245,2004-02-04,18
19365,2004-02-04,19
19031,2004-02-04,20
18367,2004-02-04,21
17247,2004-02-04,22
15674,2004-02-04,23
14118,2004-02-04,24
