SystemLoad,Date,Hour
18184,2004-02-02,10
18097,2004-02-02,11
17852,2004-02-02,12
17489,2004-02-02,13
17241,2004-02-02,14
16965,2004-02-02,15
20539,2004-02-02,16
17523,2004-02-02,17
19329,2004-02-02,18
19722,2004-02-02,19
19335,2004-02-02,20
18591,2004-02-02,21
17420,2004-02-02,22
15724,2004-02-02,23
14396,2004-02-02,24
13563,2004-02-03,1
13173,2004-02-03,2
12982,2004-02-03,3
13011,2004-02-03,4
13362,2004-02-03,5
14488,2004-02-03,6
16828,2004-02-03,7
18142,2004-02-03,8
18391,2004-02-03,9
18396,2004-02-03,10
18378,2004-02-03,11
18269,2004-02-03,12
18074,2004-02-03,13
17917,2004-02-03,14
17784,2004-02-03,15
17888,2004-02-03,16
18643,2004-02-03,17
19930,2004-02-03,18
19977,2004-02-03,19
19455,2004-02-03,20
18566,2004-02-03,21
17239,2004-02-03,22
15482,2004-02-03,23
13941,2004-02-03,24
12923,2004-02-04,1
12393,2004-02-04,2
12208,2004-02-04,3
12197,2004-02-04,4
12492,2004-02-04,5
13636,2004-02-04,6
15863,2004-02-04,7
17062,2004-02-04,8
17257,2004-02-04,9
17360,2004-02-04,10
17286,2004-02-04,11
17172,2004-02-04,12
16994,2004-02-04,13
16794,2004-02-04,14
16574,2004-02-04,15
16557,2004-02-04,16
17142,2004-02-04,17
18830,2004-02-04,18
19365,2004-02-04,19
19031,2004-02-04,20
27220,2004-02-04,21
17660,2004-02-04,22
18009,2004-02-04,23
14118,2004-02-04,24
13241,2004-02-05,1
12829,2004-02-05,2
12677,2004-02-05,3
12702,2004-02-05,4
13069,2004-02-05,5
14325,2004-02-05,6
16678,2004-02-05,7
17912,2004-02-05,8
18012,2004-02-05,9
17916,2004-02-05,10
17819,2004-02-05,11
17639,2004-02-05,12
17300,2004-02-05,13
17216,2004-02-05,14
17215,2004-02-05,15
23266,2004-02-05,16
19374,2004-02-05,17
24499,2004-02-05,18
24300,2004-02-05,19
27919,2004-02-05,20
18156,2004-02-05,21
17013,2004-02-05,22
15529,2004-02-05,23
14108,2004-02-05,24
13153,2004-02-06,1
12654,2004-02-06,2
12464,2004-02-06,3
12435,2004-02-06,4
12721,2004-02-06,5
13859,2004-02-06,6
15945,2004-02-06,7
17370,2004-02-06,8
22889,2004-02-06,9
23198,2004-02-06,10
28323,2004-02-06,11
26669,2004-02-06,12
20195,2004-02-06,13
28242,2004-02-06,14
22499,2004-02-06,15
24344,2004-02-06,16
19835,2004-02-06,17
20180,2004-02-06,18
19226,2004-02-06,19
18449,2004-02-06,20
17618,2004-02-06,21
16520,2004-02-06,22
15213,2004-02-06,23
13860,2004-02-06,24
12846,2004-02-07,1
12325,2004-02-07,2
12010,2004-02-07,3
11883,2004-02-07,4
11936,2004-02-07,5
12338,2004-02-07,6
